,Country_Region,Last_Update,Lat,Long_,Confirmed,Deaths,Recovered,Active,Incident_Rate,People_Tested,People_Hospitalized,Mortality_Rate,UID,ISO3
0,Afghanistan,2020-11-29 12:27:23,33.93911,67.709953,46215.0,1763.0,36731.0,7721.0,118.71813391688076,,,3.8147787514876117,4,AFG
1,Albania,2020-11-29 12:27:23,41.1533,20.1683,36790.0,787.0,18152.0,17851.0,1278.4071165473624,,,2.1391682522424573,8,ALB
2,Algeria,2020-11-29 12:27:23,28.0339,1.6596,81212.0,2393.0,52568.0,26251.0,185.19969981101704,,,2.9466088755356346,12,DZA
3,Andorra,2020-11-29 12:27:23,42.5063,1.5218,6610.0,76.0,5710.0,824.0,8554.973144373262,,,1.1497730711043872,20,AND
4,Angola,2020-11-29 12:27:23,-11.2027,17.8739,15087.0,345.0,7763.0,6979.0,45.904207925280716,,,2.2867369258301853,24,AGO
5,Antigua and Barbuda,2020-11-29 12:27:23,17.0608,-61.7964,141.0,4.0,130.0,7.0,143.98333469487787,,,2.8368794326241136,28,ATG
6,Argentina,2020-11-29 12:27:23,-38.4161,-63.6167,1413375.0,38322.0,1242877.0,132176.0,3127.2280151307064,,,2.7113823295303794,32,ARG
7,Armenia,2020-11-29 12:27:23,40.0691,45.0382,134768.0,2142.0,107364.0,25262.0,4548.003971336721,,,1.5893980766947644,51,ARM
8,Australia,2020-11-29 12:27:23,-25.0,133.0,27893.0,907.0,25589.0,1397.0,109.55745747200476,,,3.2517118990427707,36,AUS
9,Austria,2020-11-29 12:27:23,47.5162,14.5501,279708.0,3105.0,216998.0,59605.0,3105.6581986143187,,,1.1100862327856194,40,AUT
10,Azerbaijan,2020-11-29 12:27:23,40.1431,47.5769,118195.0,1361.0,73676.0,43158.0,1165.7260082797666,,,1.1514869495325522,31,AZE
11,Bahamas,2020-11-29 12:27:23,25.025885,-78.035889,7496.0,163.0,5830.0,1503.0,1906.1762551875659,,,2.174493062966916,44,BHS
12,Bahrain,2020-11-29 12:27:23,26.0275,50.55,86645.0,341.0,84785.0,1519.0,5092.023133752512,,,0.3935599284436494,48,BHR
13,Bangladesh,2020-11-29 12:27:23,23.685,90.3563,462407.0,6609.0,378172.0,77626.0,280.77523370161634,,,1.4292603701933575,50,BGD
14,Barbados,2020-11-29 12:27:23,13.1939,-59.5432,270.0,7.0,249.0,14.0,93.95520076834477,,,2.592592592592593,52,BRB
15,Belarus,2020-11-29 12:27:23,53.7098,27.9534,135008.0,1151.0,113375.0,20482.0,1428.7587436176632,,,0.8525420715809433,112,BLR
16,Belgium,2020-11-29 12:27:23,50.8333,4.469936,574448.0,16461.0,0.0,557987.0,4956.574920169917,,,2.8655335208756934,56,BEL
17,Belize,2020-11-29 12:27:23,17.1899,-88.4976,5647.0,144.0,3072.0,2431.0,1420.196619393845,,,2.550026562776696,84,BLZ
18,Benin,2020-11-29 12:27:23,9.3077,2.3158,2974.0,43.0,2819.0,112.0,24.53148088482923,,,1.44586415601883,204,BEN
19,Bhutan,2020-11-29 12:27:23,27.5142,90.4336,396.0,0.0,373.0,23.0,51.32113030901541,,,0.0,64,BTN
20,Bolivia,2020-11-29 12:27:23,-16.2902,-63.5887,144592.0,8949.0,121280.0,14363.0,1238.6844922598925,,,6.189139094832356,68,BOL
21,Bosnia and Herzegovina,2020-11-29 12:27:23,43.9159,17.6791,87374.0,2620.0,51479.0,33275.0,2663.1797282077773,,,2.998603703618925,70,BIH
22,Botswana,2020-11-29 12:27:23,-22.3285,24.6849,10258.0,31.0,7717.0,2510.0,436.2090044118429,,,0.3022031585104309,72,BWA
23,Brazil,2020-11-29 12:27:23,-14.235,-51.9253,6290272.0,172561.0,5581436.0,536275.0,2959.3006630913237,,,2.743299494839015,76,BRA
24,Brunei,2020-11-29 12:27:23,4.5353,114.7277,150.0,3.0,145.0,2.0,34.287046582381485,,,2.0,96,BRN
25,Bulgaria,2020-11-29 12:27:23,42.7339,25.4858,141747.0,3749.0,47779.0,90219.0,2039.9816073956115,,,2.6448531538586355,100,BGR
26,Burkina Faso,2020-11-29 12:27:23,12.2383,-1.5616,2817.0,68.0,2588.0,161.0,13.476355239594481,,,2.4139155129570464,854,BFA
27,Burma,2020-11-29 12:27:23,21.9162,95.956,87977.0,1887.0,67588.0,18502.0,161.69331572914982,,,2.1448787751344103,104,MMR
28,Burundi,2020-11-29 12:27:23,-3.3731,29.9189,681.0,1.0,575.0,105.0,5.727125913764621,,,0.14684287812041116,108,BDI
29,Cabo Verde,2020-11-29 12:27:23,16.5388,-23.0418,10700.0,105.0,10161.0,434.0,1924.5019676683671,,,0.9813084112149532,132,CPV
30,Cambodia,2020-11-29 12:27:23,11.55,104.9167,315.0,0.0,301.0,14.0,1.8840872443645007,,,0.0,116,KHM
31,Cameroon,2020-11-29 12:27:23,3.848,11.5021,24117.0,437.0,22177.0,1503.0,90.85031099383316,,,1.811999834141892,120,CMR
32,Canada,2020-11-29 12:27:23,60.00100000000001,-95.001,368279.0,11993.0,295475.0,60811.0,972.8494798485048,,,3.256498469910041,124,CAN
